num_target;   la; isd; typealmax; niter;     tex; te_acc; tex/te_acc;
         1;  1.0;   1; 2;  103;  0.3371;  100.0;  0.0034;
         1;  1.0;   3; 2;   36;  0.1558;  100.0;  0.0016;
         2;  1.0;   1; 2;  304;  0.8567;  100.0;  0.0086;
         2;  1.0;   3; 2;   63;  0.2205;  100.0;  0.0022;
         3;  1.0;   1; 2;  552;  1.5411;   99.2;  0.0155;
         3;  1.0;   3; 2;   86;  0.3277;   99.2;  0.0033;
         4;  1.0;   1; 2;  118;  0.3851;  100.0;  0.0039;
         4;  1.0;   3; 2;   35;  0.2108;  100.0;  0.0021;
         5;  1.0;   1; 2;  201;  0.6308;   99.6;  0.0063;
         5;  1.0;   3; 2;   51;  0.2130;   99.6;  0.0021;
         6;  1.0;   1; 2;  297;  0.9119;  100.0;  0.0091;
         6;  1.0;   3; 2;   72;  0.3032;  100.0;  0.0030;
         7;  1.0;   1; 2;  165;  0.5283;  100.0;  0.0053;
         7;  1.0;   3; 2; 1000;  2.6202;  100.0;  0.0262;
         8;  1.0;   1; 2;  743;  1.9780;   98.0;  0.0202;
         8;  1.0;   3; 2; 1000;  2.2652;   98.0;  0.0231;
         9;  1.0;   1; 2;  502;  1.3189;   99.2;  0.0133;
         9;  1.0;   3; 2; 1000;  2.2847;   99.2;  0.0230;
         0;  1.0;   1; 2;  362;  0.9733;   99.2;  0.0098;
         0;  1.0;   3; 2;  155;  0.4411;   99.2;  0.0044;
