num_target;   la; isd; typealmax; niter;     tex; te_acc;
         1;  0.0;   1; 1; 1000;  1.6515;  100.0;
         1;  0.0;   3; 1;   10;  0.0565;  100.0;
         1;  1.0;   1; 1;  125;  0.5191;  100.0;
         1;  1.0;   3; 1;   39;  0.1499;  100.0;
         1; 10.0;   1; 1;   50;  0.2464;  100.0;
         1; 10.0;   3; 1;   41;  0.1558;  100.0;
         2;  0.0;   1; 1; 1000;  1.7266;  100.0;
         2;  0.0;   3; 1;   36;  0.2327;   40.0;
         2;  1.0;   1; 1;  125;  0.5383;  100.0;
         2;  1.0;   3; 1;   78;  0.3074;  100.0;
         2; 10.0;   1; 1;  123;  0.6097;  100.0;
         2; 10.0;   3; 1;   50;  0.1988;  100.0;
         3;  0.0;   1; 1; 1000;  1.6943;   98.4;
         3;  0.0;   3; 1;   34;  0.1777;   26.8;
         3;  1.0;   1; 1;  559;  2.5495;   99.2;
         3;  1.0;   3; 1;  108;  0.4225;   99.2;
         3; 10.0;   1; 1;   86;  0.4587;   99.2;
         3; 10.0;   3; 1;   53;  0.2174;   99.2;
         4;  0.0;   1; 1; 1000;  1.6873;   99.6;
         4;  0.0;   3; 1;    6;  0.0428;   99.6;
         4;  1.0;   1; 1;   81;  0.3125;  100.0;
         4;  1.0;   3; 1;   39;  0.1490;  100.0;
         4; 10.0;   1; 1;   35;  0.1893;  100.0;
         4; 10.0;   3; 1;   44;  0.1719;  100.0;
         5;  0.0;   1; 1;  151;  0.2733;   99.6;
         5;  0.0;   3; 1;   17;  0.1127;    0.0;
         5;  1.0;   1; 1;  207;  0.7981;   99.6;
         5;  1.0;   3; 1;   62;  0.2281;   99.6;
         5; 10.0;   1; 1;  109;  0.5660;   99.6;
         5; 10.0;   3; 1;   46;  0.2025;   99.6;
         6;  0.0;   1; 1;    8;  0.0473;   99.6;
         6;  0.0;   3; 1;   19;  0.1289;   30.4;
         6;  1.0;   1; 1;   63;  0.2858;  100.0;
         6;  1.0;   3; 1;   53;  0.2129;  100.0;
         6; 10.0;   1; 1;   88;  0.4642;   99.6;
         6; 10.0;   3; 1;   49;  0.2303;   99.6;
         7;  0.0;   1; 1; 1000;  1.7774;   98.8;
         7;  0.0;   3; 1;   61;  0.3483;   98.4;
         7;  1.0;   1; 1;   70;  0.2815;  100.0;
         7;  1.0;   3; 1;   38;  0.1469;  100.0;
         7; 10.0;   1; 1;   38;  0.2328;   99.6;
         7; 10.0;   3; 1;   44;  0.2488;   99.6;
         8;  0.0;   1; 1; 1000;  3.3994;   97.2;
         8;  0.0;   3; 1;  979;  5.4987;   93.6;
